date;trav;;;;;
04/03/2006;0.243763232;;;;;
04/04/2006;1.12912945;;;;;
04/05/2006;0.116487609;;;;;
04/06/2006;0.369149036;;;;;
04/07/2006;0.360019216;;;;;
04/10/2006;-0.592095591;;;;;
04/11/2006;-0.773435785;;;;;
04/12/2006;-1.000848855;;;;;
4/13/2006;0.885069006;;;;;
4/18/2006;-0.575925359;;;;;
4/19/2006;1.873388782;;;;;
4/20/2006;0.479644743;;;;;
4/25/2006;-0.224034785;;;;;
4/26/2006;-0.019153344;;;;;
4/27/2006;1.055687987;;;;;
4/28/2006;-0.996295304;;;;;
05/03/2006;0.887758992;;;;;
05/04/2006;-0.136155512;;;;;
05/05/2006;0.084340788;;;;;
05/08/2006;0.70847068;;;;;
05/09/2006;0.159880813;;;;;
05/10/2006;0.803023817;;;;;
05/11/2006;-0.395697894;;;;;
05/12/2006;-1.676833868;;;;;
5/15/2006;-0.994755495;;;;;
5/16/2006;-1.491512079;;;;;
5/17/2006;0.196013919;;;;;
5/18/2006;-1.655611506;;;;;
5/19/2006;-0.582581797;;;;;
5/22/2006;-0.091949554;;;;;
5/23/2006;-1.688508216;;;;;
5/24/2006;-0.415775944;;;;;
5/25/2006;-0.36228484;;;;;
5/26/2006;2.100735031;;;;;
5/29/2006;0.687109892;;;;;
5/30/2006;-0.259621293;;;;;
5/31/2006;-1.372880732;;;;;
06/01/2006;0.070602347;;;;;
06/02/2006;0.792724454;;;;;
06/05/2006;0.11635863;;;;;
06/06/2006;-0.800777702;;;;;
06/07/2006;-0.113287021;;;;;
06/08/2006;-0.896982624;;;;;
06/09/2006;0.108040842;;;;;
06/12/2006;-0.247860631;;;;;
6/13/2006;-1.144183674;;;;;
6/14/2006;-0.438037881;;;;;
6/19/2006;0.059450855;;;;;
6/20/2006;-0.339761415;;;;;
6/21/2006;-0.191123875;;;;;
6/22/2006;0.707029983;;;;;
6/23/2006;-0.171927513;;;;;
6/26/2006;0.278281168;;;;;
6/27/2006;-0.026053539;;;;;
6/28/2006;-0.242967084;;;;;
6/29/2006;0.468496297;;;;;
6/30/2006;1.719215355;;;;;
07/03/2006;0.103651213;;;;;
07/04/2006;0.565209042;;;;;
07/05/2006;0.007889046;;;;;
07/06/2006;-0.864733414;;;;;
07/07/2006;0.127438503;;;;;
07/10/2006;-0.388162858;;;;;
07/11/2006;0.037152228;;;;;
07/12/2006;0.426450075;;;;;
7/13/2006;-0.35355082;;;;;
7/14/2006;-1.02995092;;;;;
7/17/2006;-0.004357106;;;;;
7/18/2006;-0.577500293;;;;;
7/19/2006;0.323186159;;;;;
7/20/2006;2.111497412;;;;;
7/21/2006;-0.775723447;;;;;
7/24/2006;-0.269201342;;;;;
7/25/2006;0.607427631;;;;;
7/26/2006;0.388638421;;;;;
7/27/2006;-0.078201626;;;;;
7/28/2006;0.286935339;;;;;
7/31/2006;0.512308714;;;;;
08/01/2006;-0.329115886;;;;;
08/02/2006;-0.275894831;;;;;
08/03/2006;0.554751662;;;;;
08/04/2006;0.207794348;;;;;
08/07/2006;0.541231889;;;;;
08/08/2006;-0.212681976;;;;;
08/09/2006;-0.149206041;;;;;
08/10/2006;-0.566393371;;;;;
08/11/2006;0.168318592;;;;;
8/14/2006;-0.749159354;;;;;
8/15/2006;-0.720180881;;;;;
8/16/2006;1.38503724;;;;;
8/17/2006;0.6381086;;;;;
8/18/2006;-0.204281347;;;;;
8/21/2006;-0.012823163;;;;;
8/22/2006;-0.769659842;;;;;
8/23/2006;-0.967842767;;;;;
8/24/2006;-2.332121884;;;;;
8/25/2006;0.40253143;;;;;
8/28/2006;0.239658817;;;;;
8/29/2006;0.660511609;;;;;
8/30/2006;-0.114984353;;;;;
8/31/2006;0.015645737;;;;;
09/01/2006;-0.151175905;;;;;
09/04/2006;2.152775624;;;;;
09/05/2006;0.523966921;;;;;
09/06/2006;-0.48902973;;;;;
